1005010002,健康运动、户外|运动服饰|运动夹克,adidas 户外梭织羽绒茄克 W66317 黑色 2XL   ,首页 > 运动户外 > 运动服装 > 运动棉衣 > ADIDAS 阿迪达斯,徐家汇商城,$N
1005010002,健康运动、户外|运动服饰|运动夹克,Adidas阿迪达斯男子长棉衣茄克外套 W61980 图片色 M,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子长棉衣茄克外套 ...,京东商城,加百利运动专营店
1005010002,健康运动、户外|运动服饰|运动夹克,Adidas/阿迪达斯 12年冬款都市女子鹅绒服茄克W58192 深蓝 L,服饰内衣>运动>棉服/羽绒服>阿迪达斯（Adidas）>Adidas/阿迪达斯 12年冬款都市女...,京东商城,爱度运动
1005010002,健康运动、户外|运动服饰|运动夹克,ADIDAS(阿迪)2013新款CTE FZR HOODY P冬季男子针织夹克G68105 蓝色G68105 XL,服饰内衣>运动>棉服/羽绒服>阿迪达斯（Adidas）>ADIDAS(阿迪)2013新款CTE ...,京东商城,友动运动专营店
1005010002,健康运动、户外|运动服饰|运动夹克,361°(361度)棉夹克2011年11月新品男性5141232-0600 灰色 M,服饰内衣>运动>棉服/羽绒服>361°(361度)棉夹克2011年11...,京东商城,运动在线专营店
1005010002,健康运动、户外|运动服饰|运动夹克,361° 361度 棉夹克 女式运动服 长袖 上衣 户外 冬季休闲服 DF 6244214 黄色 S,服饰内衣>运动>棉服/羽绒服>361°>361° 361度 棉夹克 女式运动服 ...,京东商城,361度专卖店
1005010002,健康运动、户外|运动服饰|运动夹克,鸿星尔克ERKE 女棉夹克14134335-46 红色 L,服饰内衣>运动>棉服/羽绒服>鸿星尔克（ERKE）>鸿星尔克ERKE 女棉夹克1413433...,京东商城,
1005010002,健康运动、户外|运动服饰|运动夹克,361度361° 冬季新款棉服男式 5144213 黑 M,服饰内衣>运动>棉服/羽绒服>361°>361度361° 冬季新款棉服男式 51...,京东商城,快易拍运动专营店
1005010002,健康运动、户外|运动服饰|运动夹克,361°(361度)棉夹克男性5244216-9300 咖啡 S,服饰内衣>运动>棉服/羽绒服>361°(361度)棉夹克男性52442...,京东商城,运动在线专营店
1005010002,健康运动、户外|运动服饰|运动夹克,货到付款361度官方正品秋季新款女子绒里夹克 561339317 深粉 S,运动户外>户外鞋服>羽绒服/棉服> 361°>货到付款361度官方正品秋季新款女子绒里...,京东商城,361度户外旗舰店
1005010002,健康运动、户外|运动服饰|运动夹克,特价鸿星尔克ERKE女子保暖防风棉衣夹克 蓝色 L,服饰鞋帽>运动>棉服/羽绒服>特价鸿星尔克ERKE女子保暖防风棉衣夹克...,京东商城,环球运动专营店
1005010002,健康运动、户外|运动服饰|运动夹克,adidas阿迪达斯12年新款男子中棉茄克Z00723 Z00723 XS,服饰内衣>运动>棉服/羽绒服>阿迪达斯（Adidas）>adidas阿迪达斯12年新款男子中棉茄...,京东商城,凯星运动专营店
1005010002,健康运动、户外|运动服饰|运动夹克,鸿星尔克ERKE 女棉夹克14134335-46 红色 S,服饰内衣>运动>棉服/羽绒服>鸿星尔克（ERKE）>鸿星尔克ERKE 女棉夹克1413433...,京东商城,鸿星尔克官方运动旗舰店
1005010002,健康运动、户外|运动服饰|运动夹克,AT 5Z  新款 阿迪达斯 adidas 男装外套 专柜正品柔软舒适运动服 X74385,运动户外?>?运动服装?>?夹克/外套?>?商品详情,当当网,阿迪达斯
1005010002,健康运动、户外|运动服饰|运动夹克,Reebok/锐步 断码生活男装针织立领外套运动服W67420,所有分类>运动户外>运动服/包/配件>运动夹克>Reebok/锐步>Reebok/锐步 ...,1号店,Reebok/锐步
1005010002,健康运动、户外|运动服饰|运动夹克,阿迪达斯adidasNEO男装生活外套运动服Z49338 Z49339 学院藏青蓝 L,服饰内衣>运动>夹克>阿迪达斯（Adidas）>阿迪达斯adidasNEO男装生活外套运...,京东商城,名鞋库运动旗舰店
1005010002,健康运动、户外|运动服饰|运动夹克,吉普盾NIAN JEEP 秋季新款男装纯棉水洗夹克户外休闲夹克 6803 军绿 4XL,服饰内衣>男装>羽绒服> 吉普盾>吉普盾NIAN JEEP 秋季新款男装纯...,京东商城,吉普盾红雨专卖店
1005010002,健康运动、户外|运动服饰|运动夹克,安踏 ANTA 女装外套上衣运动服夹克 66133641-1 绿宝石 S,服饰内衣>运动>夹克>安踏（ANTA）>安踏 ANTA 女装外套上衣运动服夹克 ...,京东商城,安踏官方旗舰店
1005010002,健康运动、户外|运动服饰|运动夹克,阿迪休闲adidas Style女装夹克-Z48937 Z48931 红色37M,首页>运动户外>运动服>运动外套>阿迪休闲adidasStyle女装...,苏宁,阿迪达斯
1005010002,健康运动、户外|运动服饰|运动夹克,Esprit/埃斯普利特 女装edc薄夹克WE0468F,所有分类>服饰内衣、鞋靴童装>女装>女士外套>Esprit/埃斯普利特,1号店,女士外套
NULL,NULL,Kappa卡帕男运动夹克粉红K2103JJ259-519,首页>运动>运动休闲服>夹克,银泰网,kappa
1015008008,母婴童|妈妈专区|孕妇上装、孕妇套装,阿迪达斯/Adidas三叶草女装上衣夹克 女子运动夹克P02017 P02018 黑色 L,阿迪达斯/Adidas三叶草女装上衣夹克...,京东商城,联百运动专营店
NULL,NULL,李宁男子CORE系列速干时尚运动夹克AJDF083-1,首页>运动>运动休闲服>夹克,银泰网,LINING
NULL,NULL,PEPSI百事秋冬新品时尚潮流运动夹克/情侣款~ 绿色 M,PEPSI百事秋冬新品时尚潮流运动夹克/...,京东商城,百事运动旗舰店
NULL,NULL,PEPSI百事秋冬新品时尚潮流运动夹克/情侣款~ 深蓝色 XL,PEPSI百事秋冬新品时尚潮流运动夹克/...,京东商城,百事运动旗舰店
NULL,NULL,丝滑舒适双边条运动夹克情侣款（男款） 群青色,首页> 运动户外> 男运动装> 外套> 运动外套> 丝滑舒适双边条运动夹克情侣款（男款）,凡客诚品,VANCL 凡客诚品
1015008008,母婴童|妈妈专区|孕妇上装、孕妇套装,NIKE AS SUMMERIZED WINDRUNNER 运动夹克,BOYS首页>上衣>夹克> NIKE AS SUMMERIZED WINDRUNNER 运动夹克,yoho有货,Nike
1008002012,服饰、鞋、包|男装|外套,诠渡良品 男装新品 时尚休闲薄款夹克棒球领男士运动夹克#81855 黑色,首页 >男装 >外套 >夹克 >诠渡良品 男装新品 时尚休闲薄款夹克棒球领男士运动夹克#81855,vjia,TRENDUALITY诠渡良品旗舰店
1015007012,母婴童|服饰寝居、童装、童鞋|大衣、风衣,超轻运动夹克（男童）（140-170） 荧光绿色,首页> 童装> 男孩> 风衣/夹克> 超轻运动夹克（男童）（140-170）,凡客诚品,VANCL 凡客诚品
1019003001,家居家装|生活日用|收纳用品,轻薄可收纳运动夹克（男） 中黄/深沉灰,首页> 运动户外> 男运动装> 外套> 运动外套> 轻薄可收纳运动夹克（男）,凡客诚品,VANCL 凡客诚品
NULL,NULL,动感都市梭织连帽运动夹克（女款） 紫色,首页> 运动户外> 女运动装> 外套> 运动外套> 动感都市梭织连帽运动夹克（女款）,凡客诚品,VANCL 凡客诚品
1008002012,服饰、鞋、包|男装|外套,佐丹奴 男装 狮王藏帽领运动夹克01071003001 67太平阳蓝色,首页 >男装 >外套 >夹克 >Giordano 佐丹奴 男装 狮王藏帽领运动夹克01071003001,vjia,Giordano佐丹奴旗舰店
1008002008,服饰、鞋、包|男装|夹克,HI-TEC 海泰客 防风 防水男士户外三防运动夹克14-1A011 中草绿色,首页 >运动户外 >户外鞋服 >冲锋衣裤 >HI-TEC 海泰客 防风 防水男士户外三防运动夹克14-1A011,vjia,海泰客旗舰店
NULL,NULL,带帽运动夹克 白色,首页> 运动户外> 男运动装> 外套> 运动外套> 带帽运动夹克,凡客诚品,VANCL 凡客诚品
NULL,NULL,速干连帽薄型运动夹克 白色,首页> 运动户外> 男运动装> 外套> 运动外套> 速干连帽薄型运动夹克,凡客诚品,VANCL 凡客诚品
1008002010,服饰、鞋、包|男装|大衣,PUFFY PUPPY 帕菲帕贝 男童立领运动夹克外套 PECS09P91,所有分类>服饰内衣、鞋靴童装>童装/配件>童外套/夹克/大衣>夹克/皮衣>PUFFY PUPPY>PUFFY PUPP...,1号店,PUFFY PUPPY
1005011011,健康运动、户外|户外服饰|内衣、内裤,Deerway/德尔惠 2012春季 运动夹克 女式 12Q1 51221914,所有分类 > 服饰内衣、鞋靴运动 > 运动户外 > 运动服饰 > 运动夹克 > Deerway/德尔惠,1号店,NULL
1008002021,服饰、鞋、包|男装|中老年男装,Sportica 斯波帝卡 男式秋冬新款经典怀旧运动夹克 11182063,服饰箱包 > 男装 > 夹克,亚马逊(卓越网),NULL
1008002021,服饰、鞋、包|男装|中老年男装,Sportica 斯波帝卡 男式秋冬新款经典怀旧运动夹克 11182063,服饰箱包 > 男装 > 夹克,亚马逊(卓越网),NULL
1008002021,服饰、鞋、包|男装|中老年男装,Sportica 斯波帝卡 男式秋冬新款经典怀旧运动夹克 11182063,服饰箱包 > 男装 > 夹克,亚马逊(卓越网),NULL
1008002008,服饰、鞋、包|男装|夹克,Trenduality 诠渡良品 轻便抗寒修身运动夹克 81754,服饰箱包 > 男装 > 夹克,亚马逊(卓越网),NULL
1015008008,母婴童|妈妈专区|孕妇上装、孕妇套装,HEAD 女式针织运动夹克,GIRLS首页>上衣>夹克> HEAD 女式针织运动夹克,yoho有货,HEAD
NULL,NULL,拼条收腰运动夹克 黑色,首页> 运动户外> 女运动装> 外套> 运动外套> 拼条收腰运动夹克,凡客诚品,VANCL 凡客诚品
NULL,NULL,BIOPLAZM百普拉姿 2012秋装新款女装休闲短外套 欧洲站带帽可拆卸修身假两件运动夹克012121052009 粉色 S,BIOPLAZM百普拉姿 2012秋装新...,京东商城,百普拉姿
1008002012,服饰、鞋、包|男装|外套,赛琪SAIQI2012 新品 潮流修身 男装运动夹克 运动外套212005 大红色-40 XL,赛琪SAIQI2012 新品 潮流修身 ...,京东商城,赛琪旗舰店
